,Unnamed: 0_x,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Unnamed: 0_y,Song,Main composer,Singer
86,111,WITH A LITTLE HELP FROM MY FRIENDS,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,164106,2,1967,66,0.705,0.515,4,0.33299999999999996,1,0.0337,0.365,0.0,0.389,0.8029999999999999,112.035,1.0,WITH A LITTLE HELP FROM MY FRIENDS,McCartney,Starr
87,112,LUCY IN THE SKY WITH DIAMONDS,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,208466,3,1967,68,0.311,0.325,2,1.0,1,0.0283,0.0469,0.0,0.139,0.6679999999999999,65.09,2.0,LUCY IN THE SKY WITH DIAMONDS,Lennon,Lennon
88,113,GETTING BETTER,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,168120,4,1967,58,0.632,0.47100000000000003,0,0.7440000000000001,1,0.0348,0.313,5.08e-06,0.0712,0.764,121.67200000000001,3.0,GETTING BETTER,McCartney,McCartney
89,114,FIXING A HOLE,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,156826,5,1967,58,0.469,0.507,0,0.873,0,0.0451,0.382,0.0,0.0783,0.619,112.984,4.0,FIXING A HOLE,McCartney,McCartney
90,115,SHE'S LEAVING HOME,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,215160,6,1967,61,0.381,0.214,4,0.22899999999999998,1,0.0337,0.9440000000000001,0.0,0.106,0.39299999999999996,127.581,,,,
91,116,BEING FOR THE BENEFIT OF MR. KITE!,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,157533,7,1967,52,0.526,0.413,0,0.39899999999999997,1,0.0446,0.33799999999999997,0.0,0.0992,0.71,111.874,,,,
92,117,WITHIN YOU WITHOUT YOU,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,304666,8,1967,57,0.35200000000000004,0.479,6,0.6890000000000001,1,0.0338,0.33899999999999997,0.00035299999999999996,0.486,0.354,126.166,7.0,WITHIN YOU WITHOUT YOU,Harrison,Harrison
93,118,WHEN I'M SIXTY FOUR,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,157666,9,1967,64,0.7040000000000001,0.24100000000000002,1,0.084,1,0.0476,0.625,2.8000000000000003e-05,0.0868,0.6609999999999999,140.411,,,,
94,119,LOVELY RITA,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,162093,10,1967,54,0.61,0.47100000000000003,8,0.6859999999999999,0,0.0261,0.0634,0.0,0.11800000000000001,0.63,87.37899999999999,9.0,LOVELY RITA,McCartney,McCartney
95,120,GOOD MORNING GOOD MORNING,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,161226,11,1967,49,0.542,0.618,2,0.755,1,0.139,0.0858,0.0,0.772,0.93,121.84899999999999,10.0,GOOD MORNING GOOD MORNING,Lennon,Lennon
96,121,SGT. PEPPER'S LONELY HEARTS CLUB BAND - REPRISE / REMASTERED 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,79066,12,1967,51,0.653,0.889,0,0.462,1,0.0453,0.0061,0.589,0.892,0.879,118.773,,,,
97,122,A DAY IN THE LIFE,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,337413,13,1967,65,0.364,0.457,4,0.519,0,0.0675,0.29,0.000106,0.922,0.175,163.219,12.0,A DAY IN THE LIFE,Lennon/McCartney,Lennon/McCartney
98,123,TAXMAN,The Beatles,Revolver,158853,1,1966,61,0.469,0.596,7,0.953,1,0.0749,0.0101,0.0,0.321,0.7829999999999999,133.586,0.0,TAXMAN,Harrison,Harrison
