,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
135,Got To Get You Into My Life - Remastered 2009,The Beatles,Revolver (Remastered),149240,13,1966-08-05,62,0.521,0.524,0,1,0.0302,0.42,9.27e-06,0.0838,0.711,136.679
136,Tomorrow Never Knows - Remastered 2009,The Beatles,Revolver (Remastered),179546,14,1966-08-05,58,0.38,0.829,5,1,0.0405,8.4e-05,0.00208,0.342,0.0534,125.887
137,Drive My Car - Remastered 2009,The Beatles,Rubber Soul (Remastered),148893,1,1965-12-03,66,0.754,0.571,2,1,0.0421,0.0173,0.0,0.3,0.82,122.463
138,Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,Rubber Soul (Remastered),124693,2,1965-12-03,69,0.425,0.369,4,1,0.0379,0.183,0.00126,0.112,0.65,176.625
139,You Won't See Me - Remastered 2009,The Beatles,Rubber Soul (Remastered),199960,3,1965-12-03,60,0.488,0.539,9,1,0.0304,0.136,0.0,0.0538,0.473,115.941
140,Nowhere Man - Remastered 2009,The Beatles,Rubber Soul (Remastered),163693,4,1965-12-03,64,0.534,0.624,4,1,0.0462,0.00797,0.0,0.128,0.687,121.402
141,Think For Yourself - Remastered 2009,The Beatles,Rubber Soul (Remastered),138520,5,1965-12-03,54,0.529,0.567,0,1,0.0282,0.0124,0.0,0.0729,0.799,130.544
142,The Word - Remastered 2009,The Beatles,Rubber Soul (Remastered),163106,6,1965-12-03,53,0.59,0.641,0,1,0.0416,0.00682,0.0,0.0553,0.792,120.773
143,Michelle - Remastered 2009,The Beatles,Rubber Soul (Remastered),162373,7,1965-12-03,67,0.578,0.29,5,0,0.0341,0.652,0.0,0.105,0.666,117.403
144,What Goes On - Remastered 2009,The Beatles,Rubber Soul (Remastered),168573,8,1965-12-03,53,0.67,0.776,4,1,0.0749,0.0168,3.01e-06,0.0732,0.765,96.93
