,Unnamed: 0,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Song,Main composer,Singer,lead
95,96,SGT. PEPPER'S LONELY HEARTS CLUB BAND - REPRISE,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,79066,12,1967,51,0.653,0.889,C,0.462,Major,0.0453,0.0061,0.589,0.892,0.879,118.773,SGT. PEPPER'S LONELY HEARTS CLUB BAND - REPRISE,McCartney,McCartney,McCartney
96,97,A DAY IN THE LIFE,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,337413,13,1967,65,0.364,0.457,E,0.519,Minor,0.0675,0.29,0.000106,0.922,0.175,163.219,A DAY IN THE LIFE,Lennon/McCartney,Lennon/McCartney,Lennon/McCartney
97,98,TAXMAN,The Beatles,Revolver,158853,1,1966,61,0.469,0.596,G,0.953,Major,0.0749,0.0101,0.0,0.321,0.7829999999999999,133.586,TAXMAN,Harrison,Harrison,Harrison
98,99,ELEANOR RIGBY,The Beatles,Revolver,126533,2,1966,69,0.581,0.28,E,0.527,Minor,0.0381,0.9359999999999999,1.56e-05,0.305,0.813,137.83100000000002,ELEANOR RIGBY,McCartney,McCartney,McCartney
99,100,I'M ONLY SLEEPING,The Beatles,Revolver,180320,3,1966,61,0.494,0.47,Ab,0.0,Minor,0.0301,0.21,0.0,0.28,0.698,103.477,I'M ONLY SLEEPING,Lennon,Lennon,Lennon
100,101,LOVE YOU TO,The Beatles,Revolver,179826,4,1966,52,0.391,0.593,F,0.7,Major,0.0413,0.7,0.00024900000000000004,0.0829,0.7070000000000001,123.986,LOVE YOU TO,Harrison,Harrison,Harrison
101,102,"HERE, THERE AND EVERYWHERE",The Beatles,Revolver,144880,5,1966,61,0.29,0.247,G,0.575,Major,0.0383,0.9209999999999999,0.00565,0.0917,0.36,165.361,"HERE, THERE AND EVERYWHERE",McCartney,McCartney,McCartney
102,103,YELLOW SUBMARINE,The Beatles,Revolver,158880,6,1966,63,0.604,0.5489999999999999,Db,0.738,Major,0.0389,0.531,0.0,0.43799999999999994,0.696,111.398,YELLOW SUBMARINE,McCartney,Starr,Starr
103,104,SHE SAID SHE SAID,The Beatles,Revolver,156040,7,1966,54,0.32899999999999996,0.6779999999999999,Eb,0.9740000000000001,Major,0.0344,0.10300000000000001,0.168,0.843,0.672,106.476,SHE SAID SHE SAID,Lennon,Lennon,Lennon
104,105,GOOD DAY SUNSHINE,The Beatles,Revolver,129293,8,1966,60,0.77,0.496,B,0.9279999999999999,Major,0.0468,0.7190000000000001,0.0,0.12300000000000001,0.5710000000000001,117.331,GOOD DAY SUNSHINE,McCartney,McCartney,McCartney
